"","pool","pos","prevalence","prob_sim","prob_test","prob_bin"
"181",8,6,0.01,0.000108157427800912,7.64827525163591e-05,2.74428000000001e-11
"182",8,7,0.01,0,5.4078713900456e-06,7.91999999999997e-14
"183",8,8,0.01,0,7.72553055720799e-07,1e-16
"184",8,0,0.03,0.783743359437696,0.783743359437696,0.783743359437696
"185",8,1,0.03,0.0569187477959984,0.0698984713625479,0.193915882747471
"186",8,2,0.03,0.0824802827104628,0.0856030286001825,0.0209908945242108
"187",8,3,0.03,0.0535883955313389,0.0451889876118991,0.0012984058468584
"188",8,4,0.03,0.0191819640178764,0.013120290382915,5.0196102327e-05
"189",8,5,0.03,0.00363311156144671,0.00221446799935799,1.2419654184e-06
"190",8,6,0.03,0.000432513281124608,0.000214094074156681,1.92056508e-08
"191",8,7,0.03,2.16256640562304e-05,1.51379648393613e-05,1.69711200000001e-10
"192",8,8,0.03,0,2.16256640562304e-06,6.56099999999999e-13
"193",8,0,0.05,0.663420431289062,0.663420431289062,0.663420431289062
"194",8,1,0.05,0.0735089778064688,0.108789248198749,0.2793349184375
"195",8,2,0.05,0.12769828836893,0.133231656478538,0.05145643234375
"196",8,3,0.05,0.0906072198969844,0.0703316666778376,0.0054164665625
"197",8,4,0.05,0.0351052490165508,0.0204202824336926,0.000356346484375
"198",8,5,0.05,0.00861643695900001,0.0034465747836,1.50040625e-05
"199",8,6,0.05,0.000875106878648438,0.000333213773023828,3.94843750000001e-07
"200",8,7,0.05,0.000168289784355469,2.35605698097656e-05,5.93750000000001e-09
"201",8,8,0.05,0,3.36579568710938e-06,3.90625e-11
"202",8,0,0.1,0.43046721,0.43046721,0.43046721
"203",8,1,0.1,0.086625937359,0.1840843883838,0.38263752
"204",8,2,0.1,0.184927296913,0.2254438595936,0.14880348
"205",8,3,0.1,0.176327351784,0.1190095717984,0.03306744
"206",8,4,0.1,0.088904068519,0.0345535543693,0.0045927
"207",8,5,0.1,0.02676804113,0.0058320157696,0.000408239999999999
"208",8,6,0.1,0.005467514784,0.0005638374621,2.268e-05
"209",8,7,0.1,0.000512579511,3.98672953e-05,7.19999999999999e-07
"210",8,8,0.1,0,5.6953279e-06,1e-08
"211",9,0,0.001,0.991035916125874,0.991035916125874,0.991035916125874
"212",9,1,0.001,0.00245884820667275,0.00243401769434142,0.00892825149662949
"213",9,2,0.001,0.0033946985631315,0.00345717822773416,3.57487547412592e-05
"214",9,3,0.001,0.00218096160657484,0.00213694795475288,8.34972583212597e-08
"215",9,4,0.001,0.00073236565251609,0.000746349623359727,1.25371258740629e-10
"216",9,5,0.001,0.00016942118522098,0.000164311657412729,1.25496755496126e-13
"217",9,6,0.001,2.68922516223779e-05,2.36651814276925e-05,8.37482519160002e-17
"218",9,7,0.001,8.96408387412595e-07,1.34461258111889e-06,3.59280359999996e-20
"219",9,8,0.001,0,2.68922516223779e-07,8.99100000000005e-24
"220",9,9,0.001,0,0,1e-27
"221",9,0,0.01,0.913517247483641,0.913517247483641,0.913517247483641
"222",9,1,0.01,0.0215342053765734,0.023482661790767,0.0830470224985128
"223",9,2,0.01,0.0327683149284485,0.0333538031629842,0.00335543525246517
"224",9,3,0.01,0.0214909640003153,0.0206166233723749,7.9084332549684e-05
"225",9,4,0.01,0.00842342009509338,0.00720055397451206,1.198247462874e-06
"226",9,5,0.01,0.00189397228010827,0.00158522885362486,1.2103509726e-08
"227",9,6,0.01,0.000371875835820344,0.000228314466643188,8.15051159999997e-11
"228",9,7,0.01,0,1.29724128774539e-05,3.52836000000002e-13
