"","pool","prevalence","above.llod","limit","pos_real","pos_null","total.tests","total.tests_null","tests.per.sample","tests.per.sample_null","tn_real","tp_real","fn_real","fp_real","ppa","ppa_null","tn_null","tp_null","fn_null","fp_null","est","lwr.ci","upr.ci"
"182",13,0.001,0.1,35,1.30375016357842,0.013,12.7853230119692,1.14962481535018,0.98348638553609,0.08843267810386,0.0075007388003294,0.906563308613014,0.0859359525866571,0,0.913414592890696,0.890678461726774,0.987077714713715,0.0115096011807831,0.00141268410550218,0,0.913414592890696,0.907731491785059,0.91885555263963
"183",13,0.001,0.15,35,1.36351448623462,0.013,12.4207923545352,1.14311793223625,0.955445565733474,0.0879321486335579,0.00970620235318508,0.878522488810395,0.11177130883642,0,0.887133182998807,0.851944641878875,0.987077714713715,0.011009071710481,0.00191321357580432,0,0.887133182998807,0.880768207690808,0.893271707396189
"184",13,0.01,0.05,35,1.28870424723343,0.13,13.3533845044236,2.50038557941528,1.0271834234172,0.192337352262714,0.00080906343302152,0.950260346494122,0.0489305900728572,0,0.951029789920861,0.942319067040091,0.877521022998968,0.115414275339637,0.00706470166139474,0,0.951029789920861,0.946616845399988,0.955177620355444
"185",13,0.01,0.1,35,1.47124463337185,0.13,13.0694054954735,2.43574762808807,1.00533888426719,0.187365202160621,0.00085853979150345,0.928415807344112,0.0707256528643839,0,0.929213574172344,0.901723119687822,0.877521022998968,0.110442125237544,0.0120368517634884,0,0.929213574172344,0.924010767762997,0.934164700055535
"186",13,0.01,0.15,35,1.44144221438468,0.13,12.5175759060603,2.35300775659917,0.962890454312332,0.181000596661475,0.000760402644290296,0.885967377389254,0.113272219966455,0,0.886641581992739,0.849758238407894,0.877521022998968,0.104077519738398,0.0184014572626341,0,0.886641581992739,0.880264987356576,0.892792017770231
"187",13,0.05,0.05,35,1.70872556195484,0.65,13.5777057294177,7.04698474764832,1.0444389022629,0.542075749819101,0.000112009271200279,0.967515825339826,0.0323721653889739,0,0.967624208222185,0.955810348325595,0.513342083279505,0.465152672896024,0.0215052438244704,0,0.967624208222184,0.96396612073645,0.971006510907299
"188",13,0.05,0.1,35,1.4549898915366,0.65,13.0163057813862,6.82236546919696,1.00125429087586,0.524797343784381,0.00014615256789191,0.924331213952785,0.0755226334793236,0,0.924466327080417,0.920306135939292,0.513342083279505,0.447874266861304,0.0387836498591902,0,0.924466327080417,0.919112485130597,0.92957136660772
"189",13,0.05,0.15,35,1.62224144343669,0.65,12.7496644852194,6.58811943968534,0.980743421939957,0.506778418437334,0.000134397272712462,0.903820345016879,0.0960452577104088,0,0.903941832333835,0.883280281169531,0.513342083279505,0.429855341514256,0.0568025752062378,0,0.903941832333835,0.897998163245585,0.909649035467917
"190",13,0.1,0.05,35,1.9675903117017,1.3,13.6532972316986,10.4014159521575,1.05025363320758,0.80010891939673,3.53344862117891e-05,0.973330556284506,0.0266341092292826,0,0.973364949634898,0.969660542204517,0.2541865828329,0.723185842473653,0.0226275746934463,0,0.973364949634898,0.970017912903911,0.976432305194393
"191",13,0.1,0.1,35,2.03480833488675,1.3,13.3743650196877,10.1234823457675,1.02879730920674,0.778729411212888,3.14676641060564e-05,0.951874232283666,0.0480943000522281,0,0.951904186484867,0.940994514359308,0.2541865828329,0.701806334289811,0.0440070828772887,0,0.951904186484867,0.9475269540315,0.956015756145733
"192",13,0.1,0.15,35,2.17962660528973,1.3,13.1957856749306,9.88521826025569,1.01506043653312,0.760401404635053,2.43907441964149e-05,0.938137359610048,0.0618382496457558,0,0.938160242036526,0.916419994571971,0.2541865828329,0.683478327711976,0.0623350894551232,0,0.938160242036526,0.933260390697414,0.942802952457058
"193",13,0.15,0.05,35,2.03805229968604,1.95,13.6702849776534,12.1878402423829,1.05156038289642,0.937526172490991,2.73924708054789e-05,0.974637305973338,0.0253353015558562,0,0.974664004428625,0.978965389123698,0.120905493565746,0.860603095567915,0.018491410866339,0,0.974664004428625,0.971392318763812,0.977655101853353
"194",13,0.15,0.1,35,2.59574002144053,1.95,13.6199366668941,11.9586933821168,1.04768743591493,0.91989949093206,7.86726626047005e-06,0.970764358991856,0.0292277737418842,0,0.970771996313629,0.958914437343295,0.120905493565746,0.842976414008984,0.0361180924252698,0,0.970771996313629,0.967280325271682,0.973985766223139
"195",13,0.15,0.15,35,2.41848528128887,1.95,13.3227936063997,11.7453739673095,1.02483027741536,0.90349030517765,1.28719195999145e-05,0.947907200492282,0.0520799275881181,0,0.947919402034612,0.940248428587344,0.120905493565746,0.826567228254574,0.05252727817968,0,0.947919402034612,0.943382374393724,0.95219325912383
"196",14,0.001,0.05,35,1.47944564083664,0.014,14.3460457049383,1.18338747882433,1.02471755035274,0.0845276770588808,0.00655885434173924,0.953288978924167,0.0401521667340938,0,0.959582742360154,0.941747341655298,0.986090636999001,0.0130991056303094,0.000810257370689634,0,0.959582742360154,0.955536722173619,0.963358227045338
"197",14,0.001,0.1,35,1.47580143989847,0.014,13.8119061082469,1.17306256774641,0.986564722017638,0.0837901834104577,0.00792765806651897,0.915136150589067,0.0769361913444144,0,0.92244901093153,0.888725959700557,0.986090636999001,0.0123616119818862,0.00154775101911275,0,0.92244901093153,0.917032827712911,0.927617611400632
"198",14,0.001,0.15,35,1.40323423359376,0.014,13.2823048435918,1.16443740248264,0.948736060256558,0.0831741001773316,0.00590856423095062,0.877307488827987,0.116783946941063,0,0.88252192631484,0.844433260381269,0.986090636999001,0.0117455287487602,0.00216383425223882,0,0.88252192631484,0.876049399880222,0.888770739685451
"199",14,0.01,0.05,35,1.51543856040992,0.14,14.4252848890537,2.73286351395754,1.03037749207527,0.195204536711253,0.000659146268331452,0.958948920646694,0.0403919330849739,0,0.95958142516225,0.943024888530395,0.868745812768978,0.123775965282682,0.00747822194833996,0,0.95958142516225,0.955535345188092,0.963356970480714
"200",14,0.01,0.1,35,1.53384327795749,0.14,13.9684883653731,2.64773277275443,0.997749168955223,0.189123769482459,0.000464804775265467,0.926320597526652,0.0732145976980822,0,0.926751355982397,0.896696711448386,0.868745812768978,0.117695198053888,0.0135589891771339,0,0.926751355982397,0.921469434006736,0.931783091648296
