"","pool","pos","prevalence","prob_sim_real"
"664",15,4,0.1,0.205311444172099
"665",15,5,0.1,0.124281797666748
"666",15,6,0.1,0.0577548979118579
"667",15,7,0.1,0.0195193085531057
"668",15,8,0.1,0.00495771303076871
"669",15,9,0.1,0.000955890901033914
"670",15,10,0.1,9.97593583628208e-05
"671",15,11,0.1,8.17699658711646e-06
"672",15,12,0.1,0
"673",15,13,0.1,0
"674",15,14,0.1,0
"675",15,15,0.1,0
"676",16,0,0.001,0.968345617352017
"677",16,1,0.001,0.017893450188017
"678",16,2,0.001,0.00764141708529726
"679",16,3,0.001,0.0045731053650292
"680",16,4,0.001,0.00137127115859387
"681",16,5,0.001,0.000173229113460155
"682",16,6,0.001,1.90973758522908e-06
"683",16,7,0.001,0
"684",16,8,0.001,0
"685",16,9,0.001,0
"686",16,10,0.001,0
"687",16,11,0.001,0
"688",16,12,0.001,0
"689",16,13,0.001,0
"690",16,14,0.001,0
"691",16,15,0.001,0
"692",16,16,0.001,0
"693",16,0,0.01,0.714877280530203
"694",16,1,0.01,0.178158144747776
"695",16,2,0.01,0.0570366332276346
"696",16,3,0.01,0.0340090913050923
"697",16,4,0.01,0.0125487964554842
"698",16,5,0.01,0.00298677570727886
"699",16,6,0.01,0.000358196160627814
"700",16,7,0.01,2.35905117143224e-05
"701",16,8,0.01,1.49135418883647e-06
"702",16,9,0.01,0
"703",16,10,0.01,0
"704",16,11,0.01,0
"705",16,12,0.01,0
"706",16,13,0.01,0
"707",16,14,0.01,0
"708",16,15,0.01,0
"709",16,16,0.01,0
"710",16,0,0.03,0.366308807072899
"711",16,1,0.03,0.259214979484383
"712",16,2,0.03,0.183765339387334
"713",16,3,0.03,0.114767089774209
"714",16,4,0.03,0.0529299607095548
"715",16,5,0.03,0.0174345506701863
"716",16,6,0.03,0.00455792717872075
"717",16,7,0.03,0.000888416597644235
"718",16,8,0.03,0.000122928187760342
"719",16,9,0.03,1.0000937309316e-05
"720",16,10,0.03,0
"721",16,11,0.03,0
"722",16,12,0.03,0
"723",16,13,0.03,0
"724",16,14,0.03,0
"725",16,15,0.03,0
"726",16,16,0.03,0
"727",16,0,0.05,0.20621555298227
"728",16,1,0.05,0.254812887289585
"729",16,2,0.05,0.224055656832135
"730",16,3,0.05,0.165100394034476
"731",16,4,0.05,0.0948224051263231
"732",16,5,0.05,0.0401490592138354
"733",16,6,0.05,0.011900071402333
"734",16,7,0.05,0.00251744550309615
"735",16,8,0.05,0.000384807423362718
"736",16,9,0.05,3.97568894035461e-05
"737",16,10,0.05,1.96330318042203e-06
"738",16,11,0.05,0
"739",16,12,0.05,0
"740",16,13,0.05,0
"741",16,14,0.05,0
"742",16,15,0.05,0
"743",16,16,0.05,0
"744",16,0,0.1,0.0294766228407236
"745",16,1,0.1,0.096854236601792
"746",16,2,0.1,0.175906878374036
"747",16,3,0.1,0.225805569378266
"748",16,4,0.1,0.209001092982303
"749",16,5,0.1,0.145996191360933
"750",16,6,0.1,0.0762819745739495
"751",16,7,0.1,0.0292382964609699
"752",16,8,0.1,0.00861707114408678
"753",16,9,0.1,0.00223215560845249
"754",16,10,0.1,0.000512965803902566
"755",16,11,0.1,6.78925328694573e-05
"756",16,12,0.1,9.05233771592764e-06
"757",16,13,0.1,0
"758",16,14,0.1,0
"759",16,15,0.1,0
"760",16,16,0.1,0
"761",17,0,0.001,0.96355476571259
"762",17,1,0.001,0.0212308098151508
"763",17,2,0.001,0.00905259654515085
"764",17,3,0.001,0.00466704027964365
"765",17,4,0.001,0.00120178084469895
"766",17,5,0.001,0.000267097039394969
"767",17,6,0.001,2.5327988410927e-05
"768",17,7,0.001,5.60997282276481e-07
"769",17,8,0.001,2.07776771213511e-08
"770",17,9,0.001,0
"771",17,10,0.001,0
"772",17,11,0.001,0
"773",17,12,0.001,0
"774",17,13,0.001,0
"775",17,14,0.001,0
"776",17,15,0.001,0
