pool,pos,above.llod,limit,total.tests,tests.per.sample,tn,tp,fn,fp
9,0,0.2,35,1,0.1111111111111111,1,0,0,0
9,0,0.25,35,1,0.1111111111111111,1,0,0,0
9,0,0.3,35,1,0.1111111111111111,1,0,0,0
9,1,0.05,35,9.5581,1.062011111111111,0,0.9509,0.0491,0
9,1,0.1,35,9.181,1.020111111111111,0,0.909,0.091,0
9,1,0.15000000000000002,35,8.8147,0.9794111111111111,0,0.8683,0.1317,0
9,1,0.2,35,8.4061,0.9340111111111111,0,0.8229,0.1771,0
9,1,0.25,35,7.8985,0.8776111111111111,0,0.7665,0.2335,0
9,1,0.3,35,7.6141,0.846011111111111,0,0.7349,0.2651,0
9,2,0.05,35,9.9703,1.107811111111111,0,0.9967,0.0033,0
9,2,0.1,35,9.8911,1.0990111111111112,0,0.9879,0.0121,0
9,2,0.15000000000000002,35,9.7732,1.085911111111111,0,0.9748,0.0252,0
9,2,0.2,35,9.6679,1.074211111111111,0,0.9631,0.0369,0
9,2,0.25,35,9.5041,1.056011111111111,0,0.9449,0.0551,0
9,2,0.3,35,9.3205,1.035611111111111,0,0.9245,0.0755,0
9,3,0.05,35,9.9991,1.1110111111111112,0,0.9999,1e-4,0
9,3,0.1,35,9.9829,1.1092111111111111,0,0.9981,0.0019,0
9,3,0.15000000000000002,35,9.9694,1.107711111111111,0,0.9966,0.0034000000000000002,0
9,3,0.2,35,9.9397,1.1044111111111112,0,0.9933,0.0067,0
9,3,0.25,35,9.8281,1.092011111111111,0,0.9809,0.0191,0
9,3,0.3,35,9.7885,1.0876111111111113,0,0.9765,0.0235,0
9,4,0.05,35,9.9982,1.1109111111111112,0,0.9998,2e-4,0
9,4,0.1,35,9.9964,1.110711111111111,0,0.9996,4e-4,0
9,4,0.15000000000000002,35,9.9919,1.110211111111111,0,0.9991,9e-4,0
9,4,0.2,35,9.9811,1.1090111111111112,0,0.9979,0.0021,0
