"","pool","prevalence","above.llod","limit","tau","pos1","pos_null","total.tests","total.tests_null","tests.per.sample","tests.per.sample_null","tn1","tp1","fn1","fp1","ppa","ppa_null","tn_null","tp_null","fn_null","fp_null","est","lwr.ci","upr.ci"
"425",17,0.1,0.15,35,0.5,10.266061969628,10.266061969628,15.1630611059557,17.9976252322493,0.891944770938568,1.05868383719113,0.166771816996666,0.833121241526803,0.000106941476530592,0,0.999871654033418,0.999860453285966,1.45526907000007e-07,0.999860307779367,0.000139546693726077,0,0.999871654033418,0.999394579231915,0.999993499913224
"426",18,0.001,0.15,35,0.1,0.0485449567034814,0.0485449567034779,1.30683282051473,1.70414105732498,0.0726018233619296,0.0946745031847209,0.982152187051451,0.0170462678063741,0.000801545142175381,0,0.955090007695283,0.824460089627846,0.952552042092391,0.0391189476291654,0.00832901027844339,0,0.955090007695283,0.950846194097285,0.959066149515499
"427",18,0.001,0.15,35,0.2,0.0790410756736402,0.0790410756736342,1.31825658902015,2.14015829877514,0.0732364771677863,0.118897683265285,0.982152187051451,0.0176809216122306,0.000166891336318865,0,0.990649199607819,0.831710773891852,0.923841160054556,0.06334212770973,0.0128167122357129,0,0.990649199607819,0.988562968758489,0.992441625043646
"428",18,0.001,0.15,35,0.3,0.109488430123133,0.109488430123123,1.32067387867206,2.54980175025117,0.0733707710373369,0.141655652791732,0.982152187051452,0.0178152154817812,3.25974667683349e-05,0,0.998173587606375,0.827829116300437,0.895992910202342,0.086100097236176,0.0179069925614827,0,0.998173587606375,0.997124374256792,0.998912547124117
"429",18,0.001,0.15,35,0.4,0.139887093162171,0.139887093162157,1.32109717922997,2.95578451078648,0.0733942877349984,0.164210250599249,0.982152187051451,0.0178387321794429,9.08076910654375e-06,0,0.999491211100614,0.829307763321892,0.868981456765263,0.108654695043693,0.0223638481910447,0,0.999491211100614,0.998821206080946,0.999832708024307
"430",18,0.001,0.15,35,0.5,0.170237137798651,0.170237137798636,1.3212246128123,3.36658462711339,0.073401367378461,0.187032479284077,0.98215218705145,0.0178458118229055,2.00112564396186e-06,0,0.99988787838321,0.836270034943335,0.842781735283113,0.131476923728522,0.0257413409883655,0,0.99988787838321,0.999422090405348,0.999996010419298
"431",18,0.01,0.15,35,0.1,0.48052855529845,0.480528555298451,3.86228177816691,6.93035140643946,0.214571209898162,0.38501952257997,0.834513761450088,0.159015654342606,0.00647058420730629,0,0.960899563226493,0.8544870101601,0.614430689867732,0.329463967024414,0.0561053431078541,0,0.960899563226493,0.956913877428771,0.964613866116701
"432",18,0.01,0.15,35,0.2,0.776282185728975,0.776282185728975,3.9529536191888,9.58128496723476,0.219608534399378,0.53229360929082,0.834513761450087,0.164052978843823,0.00143325970608986,0,0.991339100346658,0.870357941283757,0.452250584360627,0.476738053735265,0.0710113619041075,0,0.991339100346658,0.989322625801082,0.993060982652673
"433",18,0.01,0.15,35,0.3,1.06733208649603,1.06733208649603,3.9734595964816,11.6406625108787,0.220747755360089,0.646703472826597,0.834513761450088,0.165192199804533,0.00029403874537926,0,0.998223183099962,0.88598114368207,0.332775960880753,0.591147917271041,0.0760761218482061,0,0.998223183099962,0.9971851271765,0.998950666933365
"434",18,0.01,0.15,35,0.4,1.35374846104936,1.35374846104936,3.97759714049079,13.2484277872477,0.220977618916155,0.736023765958208,0.834513761450088,0.165422063360599,6.41751893130696e-05,0,0.999612202259986,0.901030023311386,0.244788527798601,0.680468210402653,0.0747432617987464,0,0.999612202259986,0.998993856956685,0.999897134267522
"435",18,0.01,0.15,35,0.5,1.63560053392522,1.63560053392522,3.97842077968841,14.5498509970135,0.221023376649356,0.808325055389638,0.834513761450088,0.1654678210938,1.84174561122163e-05,0,0.999888707023173,0.91802258522197,0.180009825518542,0.752769499834082,0.067220674647376,0,0.999888707023173,0.999423508211255,0.999996121610187
"436",18,0.03,0.15,35,0.1,1.40940618575874,1.40940618575874,8.34094505090984,13.5291886834618,0.463385836161658,0.751621593525658,0.577951262543041,0.407830280606102,0.0142184568508566,0,0.966310865099302,0.904531027927416,0.230467483724663,0.696066037970102,0.0734664783052356,0,0.966310865099302,0.962585999373109,0.969760817097174
"437",18,0.03,0.15,35,0.2,2.23794733993021,2.23794733993021,8.53921101237697,16.3828995039567,0.474400611798721,0.910161083553147,0.577951262543041,0.418845056243165,0.00320368121379399,0,0.992409215027872,0.940831192513127,0.0916483904888539,0.854605527997589,0.0537460815135566,0,0.992409215027872,0.990506805154756,0.994015713231371
"438",18,0.03,0.15,35,0.3,3.0274295367272,3.0274295367272,8.58672444048908,17.7660515124645,0.477040246693838,0.987002861803582,0.577951262543041,0.421484691138283,0.000564046318676328,0,0.998663551697667,0.966576293423047,0.0363437293197154,0.931447306248026,0.0322089644322584,0,0.998663551697667,0.997732016226555,0.999281055666143
"439",18,0.03,0.15,35,0.4,3.77958412925414,3.77958412925414,8.59452575514382,18.3911719357177,0.477473653063545,1.02173177420654,0.577951262543041,0.421918097507989,0.000130639948969499,0,0.999690462410203,0.980264550013418,0.0143719686305533,0.966176218650982,0.0194518127184651,0,0.999690462410203,0.999109218250052,0.999933975029987
"440",18,0.03,0.15,35,0.5,4.49607062861117,4.49607062861117,8.59562870557866,18.6943258931682,0.477534928087704,1.03857366073157,0.577951262543041,0.421979372532148,6.93649248112421e-05,0,0.999835647121635,0.98862093655881,0.00566732017864947,0.983018105176015,0.0113145746453358,0,0.999835647121635,0.999335014953574,0.999985823842972
"441",18,0.05,0.15,35,0.1,2.29678839114036,2.29678839114036,11.5441601353917,16.5068641422,0.641342229743983,0.917048007900002,0.397214318458219,0.585786674188426,0.0169990073533548,0,0.971799251584949,0.942223692486503,0.0856816070173422,0.861492452344446,0.052825940638212,0,0.971799251584949,0.968364007203825,0.974955894083393
"442",18,0.05,0.15,35,0.2,3.58567139313485,3.58567139313485,11.7831677165608,18.2503551060729,0.654620428697822,1.01390861700405,0.397214318458218,0.599064873142267,0.00372080839951419,0,0.9938273112427,0.976257420980984,0.0183397935295608,0.958353061448491,0.0233071450219484,0,0.9938273112427,0.992089485053211,0.995267217017814
"443",18,0.05,0.15,35,0.3,4.77450216204186,4.77450216204187,11.8378100251224,18.7817218370092,0.657656112506802,1.04342899094496,0.397214318458218,0.602100556951248,0.000685124590533603,0,0.998863402679405,0.991736283484338,0.00389503556466253,0.9878734353894,0.00823152904593713,0,0.998863402679405,0.997985720595158,0.999424937122731
"444",18,0.05,0.15,35,0.4,5.87059779831095,5.87059779831096,11.8461924325374,18.9248847137874,0.658121801807636,1.0513824840993,0.397214318458219,0.602566246252081,0.000219435289700358,0,0.999635964661372,0.996644911982912,0.000820737084324686,0.995826928543744,0.00335233437193106,0,0.999635964661372,0.999028529455098,0.999908795768228
"445",18,0.05,0.15,35,0.5,6.88077349193709,6.88077349193709,11.8488750728663,18.9742271347171,0.658270837381463,1.05412372970651,0.397214318458219,0.602715281825907,7.03997158743543e-05,0,0.999883209376018,0.998739526292616,0.000171568399122168,0.99856817415095,0.0012602574499276,0,0.999883209376019,0.99941412547499,0.999995352605174
"446",18,0.1,0.15,35,0.1,4.34432026718038,4.34432026718039,16.0472445134002,18.6422811941998,0.891513584077789,1.03568228856666,0.150094635296999,0.835958028522233,0.0139473361807679,0,0.983589542130209,0.986966433739182,0.00693002365052265,0.980126733011097,0.0129432433383802,0,0.983589542130209,0.980903796177414,0.985988026933101
"447",18,0.1,0.15,35,0.2,6.50898738787353,6.50898738787354,16.24227729389,18.9592681541737,0.902348738549447,1.05329267523187,0.150094635296999,0.84679318299389,0.00311218170911057,0,0.996338202065358,0.998046644275994,0.000310130394655938,0.99773711967632,0.00195274992902453,0,0.996338202065358,0.994947868556384,0.997425603850789
"448",18,0.1,0.15,35,0.3,8.34761808948736,8.34761808948736,16.2868670436893,18.9934057185557,0.904825946871625,1.05518920658643,0.150094635296999,0.849270391316069,0.000634973386931612,0,0.999252889305913,0.999647089894948,1.34436084618352e-05,0.999633651030871,0.000352905360666736,0,0.999252889305913,0.998494894139291,0.999688688018988
"449",18,0.1,0.15,35,0.4,9.90669371558702,9.90669371558702,16.2941553799177,18.9967395138916,0.905230854439873,1.05537441743842,0.150094635296999,0.849675298884317,0.000230065818683713,0,0.999729304192868,0.99981942588929,5.64108287345091e-07,0.999818861882866,0.000180574008847048,0,0.999729304192868,0.99916787493996,0.999950348588162
"450",18,0.1,0.15,35,0.5,11.2264505694493,11.2264505694493,16.2968820541073,18.9976394924887,0.905382336339296,1.05542441624937,0.150094635296999,0.84982678078374,7.85839192611439e-05,0,0.999907538035969,0.999868883588332,2.28975169033999e-08,0.999868860693818,0.000131116408665532,0,0.999907538035969,0.999456093995147,0.999998191542273
"451",19,0.001,0.15,35,0.1,0.0531367745526895,0.0531367745526844,1.34345320014529,1.81083211430859,0.0707080631655413,0.0953069533846625,0.9811700348644,0.0180764842181727,0.000753480917428216,0,0.959985007300749,0.823526514728598,0.948179720174088,0.042675374437294,0.00914490538861804,0,0.959985007300749,0.955957298086775,0.963741922572007
"452",19,0.001,0.15,35,0.2,0.0872155600950891,0.0872155600950804,1.35481542072664,2.31501585569233,0.0713060747750864,0.12184293977328,0.9811700348644,0.0186744958277179,0.000155469307882989,0,0.991743515892706,0.82685371283738,0.916295519084736,0.069211360825912,0.0144931200893525,0,0.991743515892706,0.989769256177576,0.993422700414134
"453",19,0.001,0.15,35,0.3,0.121236449349324,0.121236449349313,1.35722084704235,2.79564443082002,0.0714326761601236,0.147139180569475,0.9811700348644,0.0188010972127552,2.8867922845716e-05,0,0.998466915756995,0.825252998230681,0.885480450450071,0.094507601622106,0.0200119479278231,0,0.998466915756995,0.997486013956104,0.999135492754238
"454",19,0.001,0.15,35,0.4,0.155199534898512,0.155199534898495,1.35765441195906,3.28823627973154,0.0714554953662662,0.173065067354291,0.981170034864397,0.0188239164188978,6.04871670308268e-06,0,0.999678771752389,0.834597772179376,0.855698766014633,0.120433488406923,0.0238677455784447,0,0.999678771752389,0.999091760846848,0.999928774692136
"455",19,0.001,0.15,35,0.5,0.18910490918696,0.189104909186941,1.35773472024003,3.73490854170376,0.0714597221178962,0.196574133773882,0.981170034864399,0.0188281431705279,1.82196507304136e-06,0,0.999903241187123,0.831633654781036,0.826915909428396,0.143942554826513,0.0291415357450888,0,0.999903241187123,0.999448594232282,0.999997796409602
"456",19,0.01,0.15,35,0.1,0.525717361562215,0.525717361562218,4.18121577831525,7.72295964242866,0.220063988332381,0.406471560127824,0.826168623835586,0.167432409385013,0.00639896677940019,0,0.963188654887321,0.856272294875515,0.586766986041633,0.353839981180456,0.0593930327779102,0,0.96318865488732,0.959310654397568,0.966793789150537
"457",19,0.01,0.15,35,0.2,0.85577015587738,0.85577015587738,4.27843571915941,10.685438731696,0.225180827324179,0.562391512194529,0.826168623835587,0.172549248376811,0.00128212778760266,0,0.992624301688839,0.873766484338857,0.416594774022634,0.50975993324716,0.0736452927302061,0,0.992624301688839,0.990745785943841,0.994206622906942
"458",19,0.01,0.15,35,0.3,1.18024842858302,1.18024842858302,4.29824015229666,12.9555734259053,0.226223165910351,0.681872285573963,0.826168623835586,0.173591586962982,0.000239789201431458,0,0.998620564326634,0.893393863286063,0.295673797990805,0.629240706626595,0.0750854953826001,0,0.998620564326634,0.997677955824142,0.999249541782047
"459",19,0.01,0.15,35,0.4,1.4992408820499,1.4992408820499,4.30168960261553,14.6475983160538,0.226404715927133,0.770926227160725,0.826168623835587,0.173773136979765,5.82391846488486e-05,0,0.999664967361279,0.908979685280961,0.209779206461214,0.718294648213357,0.0719261453254288,0,0.999664967361279,0.999071255053767,0.999922486965647
"460",19,0.01,0.15,35,0.5,1.81283489410312,1.81283489410312,4.30236662426245,15.915382770613,0.226440348645392,0.837651724769108,0.826168623835587,0.173808769698024,2.26064663897565e-05,0,0.999869951749284,0.922236033429105,0.14878608364191,0.785020145821739,0.066193770536351,0,0.999869951749284,0.999391718893199,0.999993200528832
"461",19,0.03,0.15,35,0.1,1.54024340982376,1.54024340982377,9.09617503045319,14.8490140386,0.478746054234378,0.781527054663155,0.56061272466675,0.42611447528701,0.0132728000462406,0,0.969792479683956,0.911843329523,0.200635183571409,0.728895475715789,0.070469340712803,0,0.969792479683956,0.966248008775275,0.973059712740653
"462",19,0.03,0.15,35,0.2,2.46210408121789,2.46210408121789,9.29726022999417,17.7167927422597,0.489329485789167,0.932462775908405,0.560612724666749,0.436697906841799,0.00268936849145136,0,0.99387927543097,0.947667538731358,0.0715824263234037,0.879831196961039,0.0485863767155567,0,0.99387927543097,0.99214782580106,0.995312723535733
"463",19,0.03,0.15,35,0.3,3.33785948594647,3.33785948594647,9.33835570879866,18.9838291118362,0.491492405726245,0.99914890062296,0.56061272466675,0.438860826778876,0.000526448554374667,0,0.99880185753223,0.971244897090398,0.0254596708707381,0.946517321675592,0.0280230074536696,0,0.99880185753223,0.997907145749494,0.999381123235845
"464",19,0.03,0.15,35,0.4,4.16968629301992,4.16968629301993,9.34632493111491,19.5487082558523,0.491911838479732,1.02887938188697,0.560612724666749,0.439280259532364,0.00010701580088563,0,0.999756443104083,0.985140555290528,0.00902688687738305,0.976247802939598,0.014725310183019,0,0.999756443104083,0.999209524164127,0.999960854841262
"465",19,0.03,0.15,35,0.5,4.95966454524767,4.95966454524767,9.34784456624549,19.790267191988,0.491991819276079,1.04159301010463,0.56061272466675,0.43936024032871,2.70350045405267e-05,0,0.999938471125455,0.99212677542698,0.00319046350538711,0.988961431157263,0.0078481053373498,0,0.999938471125455,0.999511387780494,0.999999791667209
