"","pool","prevalence","above.llod","limit","pos1","pos_null","total.tests","total.tests_null","tests.per.sample","tests.per.sample_null","tn1","tp1","fn1","fp1","ppa","ppa_null","tn_null","tp_null","fn_null","fp_null","est","lwr.ci","upr.ci"
"69",3,0.01,0.15,35,0.060174226,0.03,1.086743017942,1.0812714631,0.362247672647334,0.360423821033333,0.970299,0.028914339314,0.000786660686,0,0.973514,0.912106922325848,0.970299,0.0270904877,0.0026105123,0,0.973514,0.970175506005568,0.976572709310209
"70",3,0.01,0.2,35,0.059491103,0.03,1.0856645776021,1.0784337997,0.361888192534034,0.359477933233333,0.970299,0.0285548592007,0.0011461407993,0,0.9614107,0.880259920541396,0.970299,0.0261445999,0.0035564001,0,0.9614107,0.957448743897512,0.965100943151685
"71",3,0.01,0.25,35,0.0593128969999999,0.03,1.0836541198822,1.0743317131,0.361218039960733,0.358110571033333,0.970298999999999,0.0278847066274,0.0018162933726,0,0.9388474,0.834222339315175,0.970299,0.0247772377,0.0049237623,0,0.9388474,0.933971909491889,0.943465327863178
"72",3,0.01,0.3,35,0.0592237939999999,0.03,1.0819998157636,1.0705813885,0.360666605254533,0.356860462833333,0.970299,0.0273332719212,0.0023677280788,0,0.9202812,0.792132571293896,0.970299,0.0235271295,0.0061738705,0,0.9202812,0.914799183800016,0.925516942085911
"73",3,0.05,0.05,35,0.2869615,0.15,1.424936953525,1.4179292125,0.474978984508333,0.472643070833334,0.857375,0.141645651175,0.000979348825000001,0,0.9931334,0.976755390008764,0.857375,0.1393097375,0.0033152625,0,0.9931334,0.991312888237934,0.994657019214711
"74",3,0.05,0.1,35,0.287959875,0.15,1.4203311786625,1.4031311875,0.473443726220833,0.467710395833334,0.857375,0.1401103928875,0.0025146071125,0,0.9823691,0.94217046450482,0.857375,0.1343770625,0.00824793750000001,0,0.9823691,0.979594613643224,0.984857301559643
"75",3,0.05,0.15,35,0.291953375,0.15,1.4177607623875,1.3936464625,0.472586920795834,0.464548820833333,0.857375,0.1392535874625,0.0033714125375,0,0.9763617,0.920003418054338,0.857375,0.1312154875,0.0114095125,0,0.9763617,0.973191712926621,0.97924989509469
"76",3,0.05,0.2,35,0.28781725,0.15,1.4109390229,1.378179175,0.470313007633334,0.459393058333333,0.857375,0.1369796743,0.0056453257,0,0.9604184,0.883854338299737,0.857375,0.126059725,0.016565275,0,0.9604184,0.956410536220806,0.964155190981542
"77",3,0.05,0.25,35,0.290527125,0.15,1.40322169825,1.35644785,0.467740566083334,0.452149283333334,0.857375,0.13440723275,0.00821776725000001,0,0.942382,0.833065381244523,0.857375,0.11881595,0.02380905,0,0.942382,0.937634528634613,0.946869733207766
"78",3,0.05,0.3,35,0.289386125,0.15,1.3942082118625,1.340901625,0.464736070620834,0.446967208333334,0.857375,0.1314027372875,0.0112222627125,0,0.9213163,0.796731814198072,0.857375,0.113633875,0.028991125,0,0.9213163,0.915865571118421,0.926520130165338
"79",3,0.1,0.05,35,0.567203,0.3,1.8073445281,1.7897602,0.602448176033333,0.596586733333333,0.729,0.2691148427,0.0018851573,0,0.9930437,0.971414760147601,0.729,0.2632534,0.0077466,0,0.9930437,0.99121281404639,0.994577819519072
"80",3,0.1,0.1,35,0.563951,0.3,1.8002105344,1.7673313,0.600070178133333,0.589110433333333,0.729,0.2667368448,0.0042631552,0,0.9842688,0.943826937269372,0.729,0.2557771,0.0152229,0,0.9842688,0.981633951408171,0.986615830972994
"81",3,0.1,0.15,35,0.562325,0.3,1.7941076686,1.7491849,0.598035889533333,0.583061633333333,0.729,0.2647025562,0.0062974438,0,0.9767622,0.92150664206642,0.729,0.2497283,0.0212717,0,0.9767622,0.973616773701635,0.979625546961689
"82",3,0.1,0.2,35,0.567203,0.3,1.7838796408,1.7231554,0.594626546933333,0.574385133333333,0.729,0.2612932136,0.0097067864,0,0.9641816,0.889490036900369,0.729,0.2410518,0.0299482,0,0.9641816,0.960351483180013,0.967738202707411
"83",3,0.1,0.25,35,0.570726,0.3,1.7688025558,1.6831384,0.589600851933333,0.561046133333333,0.729,0.2562675186,0.0147324814,0,0.9456366,0.840268634686346,0.729,0.2277128,0.0432872,0,0.9456366,0.941011270407739,0.950000177990761
"84",3,0.1,0.3,35,0.583734,0.3,1.7632438309,1.6568929,0.587747943633333,0.552297633333333,0.729,0.2544146103,0.0165853897,0,0.9387993,0.807986346863468,0.729,0.2189643,0.0520357,0,0.9387993,0.933922098838474,0.943418968049019
"85",3,0.15,0.05,35,0.8257725,0.45,2.15042225725,2.1287231875,0.716807419083334,0.709574395833333,0.614125,0.38347408575,0.00240091425,0,0.993778,0.975033527696793,0.614125,0.3762410625,0.0096339375,0,0.993778,0.992034147775009,0.995224008202109
"86",3,0.15,0.1,35,0.836962875,0.45,2.1422027724625,2.097565525,0.714067590820833,0.699188508333333,0.614125,0.3807342574875,0.0051407425125,0,0.9866777,0.948118367346939,0.614125,0.365855175,0.020019825,0,0.9866777,0.984233303336194,0.988832210824301
"87",3,0.15,0.15,35,0.8473815,0.45,2.13692249755,2.0753124625,0.712307499183333,0.691770820833333,0.614125,0.37897416585,0.00690083415,0,0.9821164,0.928895335276968,0.614125,0.3584374875,0.0274375125,0,0.9821164,0.979323947920833,0.984622766050763
"88",3,0.15,0.2,35,0.827316,0.45,2.120461764625,2.038038625,0.706820588208333,0.679346208333333,0.614125,0.373487254875,0.012387745125,0,0.967897,0.896696793002915,0.614125,0.346012875,0.039862125,0,0.967897,0.964252970462725,0.971265062992891
"89",3,0.15,0.25,35,0.830017125,0.45,2.1005968038625,1.983491875,0.700198934620833,0.661163958333333,0.614125,0.3668656012875,0.0190093987125,0,0.9507369,0.849577259475219,0.614125,0.327830625,0.058044375,0,0.9507369,0.946312076883759,0.954896792585768
"90",3,0.15,0.3,35,0.819212625,0.45,2.079800881075,1.95015295,0.693266960358333,0.650050983333333,0.614125,0.359933627025,0.025941372975,0,0.9327726,0.820777842565598,0.614125,0.31671765,0.06915735,0,0.9327726,0.927687282388504,0.937604071174837
"91",4,0.001,0.05,35,0.0102166622294419,0.004,1.01590561129111,1.01543680563011,0.253976402822777,0.253859201407529,0.996005996001,0.00397640282277677,1.76011762231929e-05,0,0.9955931,0.966248759013524,0.996005996001,0.00385920140752881,0.0001348025914712,0,0.9955931,0.994089757154973,0.996795303363058
"92",4,0.001,0.1,35,0.0099850099974999,0.004,1.01578898317913,1.01484804331698,0.253947245794783,0.253712010829245,0.996005996001,0.00394724579478327,4.67582042166924e-05,0,0.9882929,0.929395871955661,0.996005996001,0.00371201082924501,0.000281993169755,0,0.9882929,0.98598644425143,0.990307973886459
"93",4,0.001,0.15,35,0.0101248001374649,0.004,1.01572670866878,1.01448581683725,0.253931677167195,0.253621454209312,0.996005996001,0.00393167716719517,6.23268318047943e-05,0,0.9843949,0.906722729926917,0.996005996001,0.00362145420931231,0.0003725497896877,0,0.9843949,0.98176962618102,0.986732251757951
"94",4,0.001,0.2,35,0.0098771718895269,0.004,1.01551094937755,1.01377727521372,0.253877737344388,0.25344431880343,0.996005996001,0.00387773734438787,0.000116266654612089,0,0.9708897,0.862372397296717,0.996005996001,0.00344431880343031,0.000549685195569701,0,0.9708897,0.967404438660919,0.974096980189564
"95",4,0.001,0.25,35,0.0099530579655079,0.004,1.01532351875789,1.01300803435179,0.253830879689472,0.253252008587947,0.996005996001,0.00383087968947161,0.000163124309528356,0,0.9591577,0.814222666968092,0.996005996001,0.00325200858794701,0.000741995411053001,0,0.9591577,0.955092444442379,0.962952692738627
"96",4,0.001,0.3,35,0.0101607461734559,0.004,1.01511152501363,1.0123407595713,0.253777881253407,0.253085189892825,0.996005996001,0.00377788125340688,0.000216122745593086,0,0.9458882,0.772455384020036,0.996005996001,0.0030851898928251,0.000908814106174901,0,0.9458882,0.941272493057829,0.950241999235973
"97",4,0.01,0.05,35,0.0996526907100001,0.04,1.15683795185984,1.152147704504,0.289209487964961,0.288036926126,0.96059601,0.0392094879649611,0.000194502035039,0,0.9950639,0.965306460741666,0.96059601,0.038036926126,0.001367063874,0,0.9950639,0.993485999921651,0.996341744795862
"98",4,0.01,0.1,35,0.0994950747500001,0.04,1.15590303703151,1.146423749416,0.288975759257877,0.286605937354,0.96059601,0.038975759257877,0.000428230742123,0,0.9891323,0.928990626431486,0.96059601,0.036605937354,0.002798052646,0,0.9891323,0.986901430411232,0.991070963241936
"99",4,0.01,0.15,35,0.10016494258,0.04,1.15500911811437,1.142527022308,0.288752279528592,0.285631755577,0.96059601,0.038752279528592,0.000651710471408001,0,0.9834608,0.904267704285784,0.96059601,0.035631755577,0.003772234423,0,0.9834608,0.980765532728204,0.985868910481058
"100",4,0.01,0.2,35,0.0982341470700001,0.04,1.15336557769147,1.136545709972,0.288341394422867,0.284136427493,0.96059601,0.038341394422867,0.001062595577133,0,0.9730333,0.866319057866982,0.96059601,0.034136427493,0.005267562507,0,0.9730333,0.969667347789045,0.976119800867394
"101",4,0.01,0.25,35,0.0990616308600002,0.04,1.15119857890381,1.128812648028,0.287799644725953,0.282203162007,0.960596010000001,0.0377996447259531,0.001604345274047,0,0.9592847,0.817256374468677,0.96059601,0.032203162007,0.007200827993,0,0.9592847,0.955225179849363,0.963073875897533
"102",4,0.01,0.3,35,0.1004801745,0.04,1.14951089025052,1.122724204168,0.287377722562629,0.280681051042,0.96059601,0.0373777225626291,0.002026267437371,0,0.9485771,0.778628028329111,0.96059601,0.030681051042,0.008722938958,0,0.9485771,0.944065937796684,0.952824681711333
"103",4,0.05,0.05,35,0.475605975,0.2,1.738730640115,1.71966482,0.43468266002875,0.429916205,0.81450625,0.18468266002875,0.000811089971250001,0,0.9956274,0.969931358873277,0.81450625,0.179916205,0.005577545,0,0.9956274,0.9941290400431,0.996824545513123
"104",4,0.05,0.1,35,0.48821955,0.2,1.73531265808,1.69641927,0.43382816452,0.4241048175,0.814506249999999,0.18382816452,0.00166558548,0,0.9910208,0.938602068802857,0.81450625,0.1741048175,0.0113889325,0,0.9910208,0.988971802141433,0.992775574057938
"105",4,0.05,0.15,35,0.474122025,0.2,1.73144251648,1.6788629775,0.43286062912,0.419715744375,0.81450625,0.18286062912,0.00263312088,0,0.9858048,0.914940500016847,0.81450625,0.169715744375,0.015778005625,0,0.9858048,0.98328946293392,0.988031019936859
"106",4,0.05,0.2,35,0.47690443125,0.2,1.7246596036225,1.648660285,0.431164900905625,0.41216507125,0.81450625,0.181164900905625,0.004328849094375,0,0.9766631,0.874234691195795,0.81450625,0.16216507125,0.02332867875,0,0.9766631,0.973511575299662,0.979532616596555
